mesa,votos_fitu,votos_pts,votos_mst,total_votos,total_votos_afirmativos,total_votos_validos
0206301599X,11,9,2,240,231,238
0206301600X,14,14,0,253,244,249
0206301601X,4,3,1,51,47,51
0206301602X,10,10,0,260,247,252
0206301603X,22,20,2,243,242,242
0206301604X,8,8,0,251,241,247
0206301605X,15,12,3,249,244,248
0206301606X,19,17,2,257,247,254
0206301607X,13,12,1,254,249,249
0206301608X,8,6,2,239,234,236
0206301609X,25,23,2,244,240,243
0206301610X,19,17,2,229,224,228
0206301611X,18,18,0,223,215,217
0206301612X,8,7,1,129,126,127
