provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
8,1,0800100001,080010000100001,0800100001X,electores,238
8,1,0800100001,080010000100001,0800100001X,sobres,238
8,1,0800100001,080010000100001,0800100001X,nulos,10
8,1,0800100001,080010000100001,0800100001X,recurridos,0
8,1,0800100001,080010000100001,0800100001X,blancos,4
8,1,0800100001,080010000100001,0800100001X,impugnados,0
8,1,0800100001,080010000100001,0800100001X,totalVotos,238
8,1,0800100001,080010000100001,0800100001X,afirmativos,224
8,1,0800100001,080010000100001,0800100001X,abstencion,109
8,1,0800100001,080010000100001,0800100001X,valid,228
8,1,0800100001,080010000100001,0800100001X,143-3,86
8,1,0800100001,080010000100001,0800100001X,143-2,18
8,1,0800100001,080010000100001,0800100001X,143-1,3
8,1,0800100001,080010000100001,0800100001X,142-1,50
8,1,0800100001,080010000100001,0800100001X,139-1,25
8,1,0800100001,080010000100001,0800100001X,138-1,17
8,1,0800100001,080010000100001,0800100001X,137-2,8
8,1,0800100001,080010000100001,0800100001X,137-1,6
8,1,0800100001,080010000100001,0800100001X,140-1,10
8,1,0800100001,080010000100001,0800100001X,141-1,1
8,1,0800100001,080010000100001,0800100002X,electores,263
8,1,0800100001,080010000100001,0800100002X,sobres,263
8,1,0800100001,080010000100001,0800100002X,nulos,10
8,1,0800100001,080010000100001,0800100002X,recurridos,0
8,1,0800100001,080010000100001,0800100002X,blancos,6
8,1,0800100001,080010000100001,0800100002X,impugnados,0
8,1,0800100001,080010000100001,0800100002X,totalVotos,263
8,1,0800100001,080010000100001,0800100002X,afirmativos,247
8,1,0800100001,080010000100001,0800100002X,abstencion,87
8,1,0800100001,080010000100001,0800100002X,valid,253
8,1,0800100001,080010000100001,0800100002X,143-3,93
8,1,0800100001,080010000100001,0800100002X,143-2,32
8,1,0800100001,080010000100001,0800100002X,143-1,8
8,1,0800100001,080010000100001,0800100002X,142-1,36
8,1,0800100001,080010000100001,0800100002X,139-1,29
8,1,0800100001,080010000100001,0800100002X,138-1,19
8,1,0800100001,080010000100001,0800100002X,137-2,11
8,1,0800100001,080010000100001,0800100002X,137-1,3
